Pos,Team,Conference,Division,team_id,GP,W,L,OTL,RW,GF,GA,GD,PCT,season,Playoff Seed,PlayoffRound,Playoffs,RoundCategory,PlayoffRound_Cat,Playoff Seed_Cat,PlayoffSeedIndex
6,New York Rangers,East,Metropolitan,3,48,26,18,4,22,130,112,18,56,20122013,E6,R2,Y,3,Round 2 Loser,Conference 6 Seed,4
7,Ottawa Senators,East,Atlantic,9,48,25,17,6,21,116,104,12,56,20122013,E7,R2,Y,3,Round 2 Loser,Conference 7 Seed,3
8,New York Islanders,East,Metropolitan,2,48,24,17,7,20,139,139,0,55,20122013,E8,R1,Y,2,Round 1 Loser,Conference 8 Seed,2
9,Winnipeg Jets,West,Central,52,48,24,21,3,22,128,144,−16,51,20122013,NONE,NONE,N,1,NONE,NONE,0
10,Philadelphia Flyers,East,Metropolitan,4,48,23,22,3,22,133,141,−8,49,20122013,NONE,NONE,N,1,NONE,NONE,0
11,New Jersey Devils,East,Metropolitan,1,48,19,19,10,17,112,129,−17,48,20122013,NONE,NONE,N,1,NONE,NONE,0
12,Buffalo Sabres,East,Atlantic,7,48,21,21,6,14,115,143,−28,48,20122013,NONE,NONE,N,1,NONE,NONE,0
13,Carolina Hurricanes,East,Metropolitan,12,48,19,25,4,18,128,160,−32,42,20122013,NONE,NONE,N,1,NONE,NONE,0
14,Tampa Bay Lightning,East,Atlantic,14,48,18,26,4,17,148,150,−2,40,20122013,NONE,NONE,N,1,NONE,NONE,0
15,Florida Panthers,East,Atlantic,13,48,15,27,6,12,112,171,−59,36,20122013,NONE,NONE,N,1,NONE,NONE,0
1,New York Rangers,East,Metropolitan,3,82,51,24,7,47,226,187,39,109,20112012,E1,CF,Y,4,Conference Final Loser,Conference 1 Seed,9
2,Boston Bruins,East,Atlantic,6,82,49,29,4,40,269,202,67,102,20112012,E2,R1,Y,2,Round 1 Loser,Conference 2 Seed,8
3,Florida Panthers,East,Atlantic,13,82,38,26,18,32,203,227,−24,94,20112012,E3,R1,Y,2,Round 1 Loser,Conference 3 Seed,7
4,Pittsburgh Penguins,East,Metropolitan,5,82,51,25,6,42,282,221,61,108,20112012,E4,R1,Y,2,Round 1 Loser,Conference 4 Seed,6
5,Philadelphia Flyers,East,Metropolitan,4,82,47,26,9,43,264,232,32,103,20112012,E5,R2,Y,3,Round 2 Loser,Conference 5 Seed,5
6,New Jersey Devils,East,Metropolitan,1,82,48,28,6,36,228,209,19,102,20112012,E6,SCL,Y,5,Stanley Cup Loser,Conference 6 Seed,4
7,Washington Capitals,East,Metropolitan,15,82,42,32,8,38,222,230,−8,92,20112012,E7,R2,Y,3,Round 2 Loser,Conference 7 Seed,3
8,Ottawa Senators,East,Atlantic,9,82,41,31,10,35,249,240,9,92,20112012,E8,R1,Y,2,Round 1 Loser,Conference 8 Seed,2
9,Buffalo Sabres,East,Atlantic,7,82,39,32,11,32,218,230,−12,89,20112012,NONE,NONE,N,1,NONE,NONE,0
10,Tampa Bay Lightning,East,Atlantic,14,82,38,36,8,35,235,281,−46,84,20112012,NONE,NONE,N,1,NONE,NONE,0
11,Winnipeg Jets,East,Central,52,82,37,35,10,33,225,246,−21,84,20112012,NONE,NONE,N,1,NONE,NONE,0
12,Carolina Hurricanes,East,Metropolitan,12,82,33,33,16,32,213,243,−30,82,20112012,NONE,NONE,N,1,NONE,NONE,0
13,Toronto Maple Leafs,East,Atlantic,10,82,35,37,10,31,231,264,−33,80,20112012,NONE,NONE,N,1,NONE,NONE,0
14,New York Islanders,East,Metropolitan,2,82,34,37,11,27,203,255,−52,79,20112012,NONE,NONE,N,1,NONE,NONE,0
15,Montreal Canadiens,East,Atlantic,8,82,31,35,16,26,212,226,−14,78,20112012,NONE,NONE,N,1,NONE,NONE,0
1,Vancouver Canucks,West,Pacific,23,82,51,22,9,43,249,198,51,111,20112012,W1,R1,Y,2,Round 1 Loser,Conference 1 Seed,9
2,St. Louis Blues,West,Central,19,82,49,22,11,45,210,165,45,109,20112012,W2,R2,Y,3,Round 2 Loser,Conference 2 Seed,8
3,Phoenix Coyotes,West,Central,27,82,42,27,13,36,216,204,12,97,20112012,W3,CF,Y,4,Conference Final Loser,Conference 3 Seed,7
4,Nashville Predators,West,Central,18,82,48,26,8,43,237,210,27,104,20112012,W4,R2,Y,3,Round 2 Loser,Conference 4 Seed,6
5,Detroit Red Wings,West,Atlantic,17,82,48,28,6,39,248,203,45,102,20112012,W5,R1,Y,2,Round 1 Loser,Conference 5 Seed,5
6,Chicago Blackhawks,West,Central,16,82,45,26,11,38,248,238,10,101,20112012,W6,R1,Y,2,Round 1 Loser,Conference 6 Seed,4
7,San Jose Sharks,West,Pacific,28,82,43,29,10,34,228,210,18,96,20112012,W7,R1,Y,2,Round 1 Loser,Conference 7 Seed,3
8,Los Angeles Kings,West,Pacific,26,82,40,27,15,34,194,179,15,95,20112012,W8,SCW,Y,6,Stanley Cup Winner,Conference 8 Seed,2
9,Calgary Flames,West,Pacific,20,82,37,29,16,34,202,226,−24,90,20112012,NONE,NONE,N,1,NONE,NONE,0
10,Dallas Stars,West,Central,25,82,42,35,5,35,211,222,−11,89,20112012,NONE,NONE,N,1,NONE,NONE,0
11,Colorado Avalanche,West,Central,21,82,41,35,6,32,208,220,−12,88,20112012,NONE,NONE,N,1,NONE,NONE,0
12,Minnesota Wild,West,Central,30,82,35,36,11,24,177,226,−49,81,20112012,NONE,NONE,N,1,NONE,NONE,0
13,Anaheim Ducks,West,Pacific,24,82,34,36,12,31,204,231,−27,80,20112012,NONE,NONE,N,1,NONE,NONE,0
14,Edmonton Oilers,West,Pacific,22,82,32,40,10,27,212,239,−27,74,20112012,NONE,NONE,N,1,NONE,NONE,0
15,Columbus Blue Jackets,West,Metropolitan,29,82,29,46,7,25,202,262,−60,65,20112012,NONE,NONE,N,1,NONE,NONE,0
1,Washington Capitals,East,Metropolitan,15,82,48,23,11,43,224,197,27,107,20102011,E1,R2,Y,3,Round 2 Loser,Conference 1 Seed,9
2,Philadelphia Flyers,East,Metropolitan,4,82,47,23,12,44,259,223,36,106,20102011,E2,R2,Y,3,Round 2 Loser,Conference 2 Seed,8
3,Boston Bruins,East,Atlantic,6,82,46,25,11,44,246,195,51,103,20102011,E3,SCW,Y,6,Stanley Cup Winner,Conference 3 Seed,7
4,Pittsburgh Penguins,East,Metropolitan,5,82,49,25,8,39,238,199,39,106,20102011,E4,R1,Y,2,Round 1 Loser,Conference 4 Seed,6
5,Tampa Bay Lightning,East,Atlantic,14,82,46,25,11,40,247,240,7,103,20102011,E5,CF,Y,4,Conference Final Loser,Conference 5 Seed,5
6,Montreal Canadiens,East,Atlantic,8,82,44,30,8,41,216,209,7,96,20102011,E6,R1,Y,2,Round 1 Loser,Conference 6 Seed,4
7,Buffalo Sabres,East,Atlantic,7,82,43,29,10,38,245,229,16,96,20102011,E7,R1,Y,2,Round 1 Loser,Conference 7 Seed,3
8,New York Rangers,East,Metropolitan,3,82,44,33,5,35,233,198,35,93,20102011,E8,R1,Y,2,Round 1 Loser,Conference 8 Seed,2
9,Carolina Hurricanes,East,Metropolitan,12,82,40,31,11,35,236,239,-3,91,20102011,NONE,NONE,N,1,NONE,NONE,0
10,Toronto Maple Leafs,East,Atlantic,10,82,37,34,11,32,218,251,-33,85,20102011,NONE,NONE,N,1,NONE,NONE,0
11,New Jersey Devils,East,Metropolitan,1,82,38,39,5,35,174,209,-35,81,20102011,NONE,NONE,N,1,NONE,NONE,0
12,Atlanta Thrashers,East,Central,11,82,34,36,12,29,223,269,-46,80,20102011,NONE,NONE,N,1,NONE,NONE,0
13,Ottawa Senators,East,Atlantic,9,82,32,40,10,30,192,250,-58,74,20102011,NONE,NONE,N,1,NONE,NONE,0
14,New York Islanders,East,Metropolitan,2,82,30,39,13,26,229,264,-35,73,20102011,NONE,NONE,N,1,NONE,NONE,0
15,Florida Panthers,East,Atlantic,13,82,30,40,12,26,195,229,-34,72,20102011,NONE,NONE,N,1,NONE,NONE,0
1,Vancouver Canucks,West,Pacific,23,82,54,19,9,50,262,185,77,117,20102011,W1,SCL,Y,5,Stanley Cup Loser,Conference 1 Seed,9
2,San Jose Sharks,West,Pacific,28,82,48,25,9,43,248,213,35,105,20102011,W2,CF,Y,4,Conference Final Loser,Conference 2 Seed,8
3,Detroit Red Wings,West,Atlantic,17,82,47,25,10,43,261,241,20,104,20102011,W3,R2,Y,3,Round 2 Loser,Conference 3 Seed,7
4,Anaheim Ducks,West,Pacific,24,82,47,30,5,43,239,235,4,99,20102011,W4,R1,Y,2,Round 1 Loser,Conference 4 Seed,6
5,Nashville Predators,West,Central,18,82,44,27,11,38,219,194,25,99,20102011,W5,R2,Y,3,Round 2 Loser,Conference 5 Seed,5
6,Phoenix Coyotes,West,Central,27,82,43,26,13,38,231,226,5,99,20102011,W6,R1,Y,2,Round 1 Loser,Conference 6 Seed,4
7,Los Angeles Kings,West,Pacific,26,82,46,30,6,36,219,198,21,98,20102011,W7,R1,Y,2,Round 1 Loser,Conference 7 Seed,3
8,Chicago Blackhawks,West,Central,16,82,44,29,9,38,258,225,33,97,20102011,W8,R1,Y,2,Round 1 Loser,Conference 8 Seed,2
9,Dallas Stars,West,Central,25,82,42,29,11,37,227,233,-6,95,20102011,NONE,NONE,N,1,NONE,NONE,0
10,Calgary Flames,West,Pacific,20,82,41,29,12,32,250,237,13,94,20102011,NONE,NONE,N,1,NONE,NONE,0
11,St. Louis Blues,West,Central,19,82,38,33,11,34,240,234,6,87,20102011,NONE,NONE,N,1,NONE,NONE,0
12,Minnesota Wild,West,Central,30,82,39,35,8,36,206,233,-27,86,20102011,NONE,NONE,N,1,NONE,NONE,0
13,Columbus Blue Jackets,West,Metropolitan,29,82,34,35,13,29,215,258,-43,81,20102011,NONE,NONE,N,1,NONE,NONE,0
14,Colorado Avalanche,West,Central,21,82,30,44,8,24,227,288,-61,68,20102011,NONE,NONE,N,1,NONE,NONE,0
15,Edmonton Oilers,West,Pacific,22,82,25,45,12,23,193,269,-76,62,20102011,NONE,NONE,N,1,NONE,NONE,0
