season_year,Winning Team,Games,Losing Team,Winning Goal,WinningTeamId,LosingTeamId,WinningTeamGames,LosingTeamGames,NumGames,WinnerTakeAll
1952,Detroit Red Wings,4–0,Montreal Canadiens,,17,8,4,0,4,N
1951,Toronto Maple Leafs,4–1,Montreal Canadiens,Bill Barilko ,10,8,4,1,5,N
1950,Detroit Red Wings,4–3,New York Rangers,Pete Babando ,17,3,4,3,7,Y
1949,Toronto Maple Leafs,4–0,Detroit Red Wings,Cal Gardner ,10,17,4,0,4,N
1948,Toronto Maple Leafs,4–0,Detroit Red Wings,Tommy Ivan,10,17,4,0,4,N
1947,Toronto Maple Leafs,4–2,Montreal Canadiens,Ted Kennedy ,10,8,4,2,6,N
1946,Montreal Canadiens,4–1,Boston Bruins,Toe Blake ,8,6,4,1,5,N
1945,Toronto Maple Leafs,4–3,Detroit Red Wings,Babe Pratt ,10,17,4,3,7,Y
1944,Montreal Canadiens,4–0,Chicago Blackhawks,Toe Blake ,8,16,4,0,4,N
1943,Detroit Red Wings,4–0,Boston Bruins,Joe Carveth ,17,6,4,0,4,N
1942,Toronto Maple Leafs,4–3,Detroit Red Wings,Pete Langelle ,10,17,4,3,7,Y
1941,Boston Bruins,4–0,Detroit Red Wings,Bobby Bauer ,6,17,4,0,4,N
1940,New York Rangers,4–2,Toronto Maple Leafs,,3,10,4,2,6,N
1939,Boston Bruins,4–1,Toronto Maple Leafs,,6,10,4,1,5,N
1938,Chicago Blackhawks,3–1,Toronto Maple Leafs,Carl Voss ,16,10,3,1,4,N
1937,Detroit Red Wings,3–2,New York Rangers,Lester Patrick,17,3,3,2,5,Y
1936,Detroit Red Wings,3–1,Toronto Maple Leafs,,17,10,3,1,4,N
1935,Montreal Canadiens,3–0,Toronto Maple Leafs,Dick Irvin,8,10,3,0,3,N
1934,Chicago Blackhawks,3–1,Detroit Red Wings,Mush March ,16,17,3,1,4,N
1933,New York Rangers,3–1,Toronto Maple Leafs,Bill Cook ,3,10,3,1,4,N
1932,Toronto Maple Leafs,3–0,New York Rangers,Ace Bailey ,10,3,3,0,3,N
1931,Montreal Canadiens,3–2,Chicago Blackhawks,Dick Irvin,8,16,3,2,5,Y
1930,Montreal Canadiens,2–0,Boston Bruins,Howie Morenz ,8,6,2,0,2,N
1929,Boston Bruins,2–0,New York Rangers,Bill Carson ,6,3,2,0,2,N
1928,New York Rangers,3–2,Montreal Canadiens,Frank Boucher ,3,8,3,2,5,Y
1927,Ottawa Senators,2–0,Boston Bruins,Cy Denneny ,9,6,2,0,2,N
