team,season_year,name,team,team_id,position,situation,games_played,xGoalsPercentage,corsiPercentage,fenwickPercentage,iceTime,xOnGoalFor,xGoalsFor,xReboundsFor,xFreezeFor,xPlayStoppedFor,xPlayContinuedInZoneFor,xPlayContinuedOutsideZoneFor,flurryAdjustedxGoalsFor,scoreVenueAdjustedxGoalsFor,flurryScoreVenueAdjustedxGoalsFor,shotsOnGoalFor,missedShotsFor,blockedShotAttemptsFor,shotAttemptsFor,goalsFor,reboundsFor,reboundGoalsFor,freezeFor,playStoppedFor,playContinuedInZoneFor,playContinuedOutsideZoneFor,savedShotsOnGoalFor,savedUnblockedShotAttemptsFor,penaltiesFor,penalityMinutesFor,faceOffsWonFor,hitsFor,takeawaysFor,giveawaysFor,lowDangerShotsFor,mediumDangerShotsFor,highDangerShotsFor,lowDangerxGoalsFor,mediumDangerxGoalsFor,highDangerxGoalsFor,lowDangerGoalsFor,mediumDangerGoalsFor,highDangerGoalsFor,scoreAdjustedShotsAttemptsFor,unblockedShotAttemptsFor,scoreAdjustedUnblockedShotAttemptsFor,dZoneGiveawaysFor,xGoalsFromxReboundsOfShotsFor,xGoalsFromActualReboundsOfShotsFor,reboundxGoalsFor,totalShotCreditFor,scoreAdjustedTotalShotCreditFor,scoreFlurryAdjustedTotalShotCreditFor,xOnGoalAgainst,xGoalsAgainst,xReboundsAgainst,xFreezeAgainst,xPlayStoppedAgainst,xPlayContinuedInZoneAgainst,xPlayContinuedOutsideZoneAgainst,flurryAdjustedxGoalsAgainst,scoreVenueAdjustedxGoalsAgainst,flurryScoreVenueAdjustedxGoalsAgainst,shotsOnGoalAgainst,missedShotsAgainst,blockedShotAttemptsAgainst,shotAttemptsAgainst,goalsAgainst,reboundsAgainst,reboundGoalsAgainst,freezeAgainst,playStoppedAgainst,playContinuedInZoneAgainst,playContinuedOutsideZoneAgainst,savedShotsOnGoalAgainst,savedUnblockedShotAttemptsAgainst,penaltiesAgainst,penalityMinutesAgainst,faceOffsWonAgainst,hitsAgainst,takeawaysAgainst,giveawaysAgainst,lowDangerShotsAgainst,mediumDangerShotsAgainst,highDangerShotsAgainst,lowDangerxGoalsAgainst,mediumDangerxGoalsAgainst,highDangerxGoalsAgainst,lowDangerGoalsAgainst,mediumDangerGoalsAgainst,highDangerGoalsAgainst,scoreAdjustedShotsAttemptsAgainst,unblockedShotAttemptsAgainst,scoreAdjustedUnblockedShotAttemptsAgainst,dZoneGiveawaysAgainst,xGoalsFromxReboundsOfShotsAgainst,xGoalsFromActualReboundsOfShotsAgainst,reboundxGoalsAgainst,totalShotCreditAgainst,scoreAdjustedTotalShotCreditAgainst,scoreFlurryAdjustedTotalShotCreditAgainst
WSH,2010,WSH,WSH,52,Team Level,other,82,0.59,0.56,0.57,12315,182.54,33.63,12.25,34.78,6.08,97.94,67.33,32.16,33.63,32.16,176,76,85,337,31,14,4,41,9,100,57,145,221,10,23,162,52,30,22,142,66,44,4.75,7.94,20.93,4,6,21,337,252,252,18,3.5,3.93,3.93,33.21,33.21,32.09,141.53,23.45,10.69,26.59,4.59,77.35,49.39,22.29,23.45,22.29,141,52,74,267,17,10,6,38,4,57,67,124,176,11,25,159,58,27,13,104,58,31,3.1,7.36,12.99,1,4,12,267,193,193,9,3.13,4.24,4.67,21.85,21.85,21.14
WSH,2010,WSH,WSH,52,Team Level,all,82,0.53,0.52,0.52,300636,2574.69,235.06,178.59,567.06,82.12,1413.02,1078.35,225.35,235.75,226,2566,991,1313,4870,219,173,32,579,69,1237,1280,2347,3338,364,886,2534,1885,657,693,2640,706,211,77.27,85.27,72.53,73,76,70,4871.93,3557,3562.65,465,39.63,38.04,38.97,235.52,235.95,229.59,2392.02,208.92,166.81,540.61,76.01,1330.21,989.82,202.02,209.7,202.69,2375,943,1257,4575,191,151,32,608,67,1016,1285,2184,3127,334,838,2372,1893,567,662,2485,660,173,68.94,79.92,60.06,69,63,59,4573.46,3318,3317.4,452,37.14,34.41,35.59,210.08,210.37,206.62
WSH,2010,WSH,WSH,52,Team Level,5on5,82,0.52,0.51,0.51,235337,1923.99,150.92,126.13,441.7,60.82,1050.04,821.52,146.44,151.61,147.09,1910,743,1046,3699,145,117,21,449,54,887,1001,1765,2508,316,779,1832,1675,502,559,2050,489,114,61.07,59.46,30.39,63,56,26,3700.93,2653,2658.65,383,25.94,25.05,26.17,150.56,150.98,148.71,1831.04,141.5,120.41,429.05,58.03,1012.75,775.59,137.6,142.28,138.28,1807,735,980,3522,132,107,19,475,51,754,1023,1675,2410,278,706,1779,1713,460,531,1960,484,98,56.57,58.22,26.71,59,48,25,3520.46,2542,2541.4,380,24.79,20.84,21.07,144.9,145.19,143.16
WSH,2010,WSH,WSH,52,Team Level,4on5,82,0.12,0.14,0.16,28640,66.45,5.43,2.95,8.15,1.97,19.27,57.22,5.34,5.43,5.34,79,16,16,111,5,2,0,11,0,16,61,74,90,15,33,300,106,83,62,68,22,5,1.61,2.63,1.19,2,2,1,111,95,95,57,0.68,0.4,0.4,5.7,5.7,5.66,366.42,38.22,33.04,78.56,11.88,224.75,121.55,36.47,38.22,36.47,370,138,187,695,37,31,7,92,11,189,148,333,471,20,46,222,47,28,60,374,96,38,7.95,11.55,18.72,9,7,21,695,508,508,7,8.6,8.67,9.19,37.63,37.63,36.65
WSH,2010,WSH,WSH,52,Team Level,5on4,82,0.89,0.89,0.88,24344,401.7,45.1,37.24,82.42,13.25,245.78,132.28,41.42,45.1,41.42,401,156,166,723,38,40,7,78,6,234,161,363,519,23,51,240,52,42,50,380,129,48,9.83,15.23,20.02,4,12,22,723,557,557,7,9.5,8.66,8.48,46.04,46.04,43.13,53.04,5.75,2.68,6.41,1.5,15.35,43.3,5.66,5.75,5.66,57,18,16,91,5,3,0,3,1,16,47,52,70,25,61,212,75,52,58,47,22,6,1.33,2.79,1.64,0,4,1,91,75,75,56,0.62,0.67,0.67,5.7,5.7,5.68
DAL,2010,DAL,DAL,25,Team Level,other,82,0.41,0.42,0.44,11255,126.16,19.53,8.33,23.61,4.27,68.8,54.46,18.4,19.53,18.4,113,66,47,226,17,7,1,17,5,61,72,96,162,11,22,150,55,24,24,108,46,25,3.6,5.68,10.24,4,6,7,226,179,179,5,2.36,1.76,1.76,20.13,20.13,19.12,163.55,27.96,11.33,30.93,5.49,89,61.29,25.88,27.96,25.88,154,72,92,318,26,16,3,36,3,84,61,128,200,20,40,129,55,36,25,147,42,37,4.95,5.32,17.69,4,6,16,318,226,226,12,3.29,6.35,6.44,24.82,24.82,24.19
DAL,2010,DAL,DAL,25,Team Level,all,82,0.48,0.49,0.49,300132,2377.25,207.09,164.46,530.28,77.95,1342.95,1010.27,199.24,207.26,199.43,2269,1064,1107,4440,222,130,26,548,58,1125,1250,2047,3111,376,948,2386,2212,638,711,2544,616,173,72.69,73.26,61.14,79,79,64,4435.99,3333,3332.9,328,36.59,28.42,29.25,214.43,214.52,208.83,2503.94,222.6,171.07,563.42,80.94,1401.49,1048.49,212.62,223.34,213.33,2504,984,1204,4692,226,167,32,577,69,1157,1292,2278,3262,404,972,2390,2266,546,723,2691,584,213,75.01,71.66,75.93,76,73,77,4703.02,3488,3496.47,366,38.04,37.6,38.35,222.29,222.85,217.16
DAL,2010,DAL,DAL,25,Team Level,5on5,82,0.47,0.48,0.48,232713,1724.33,126.4,110.98,404.02,56.15,960.8,746.66,123.69,126.56,123.88,1650,755,847,3252,144,86,16,428,35,803,909,1506,2261,322,823,1738,1986,500,559,1905,424,76,55.74,49.86,20.8,64,56,24,3247.99,2405,2404.9,283,22.76,16.66,17.32,131.84,131.93,130.4,1882.93,140.56,121.99,445.52,60.73,1053.59,799.6,136.68,141.3,137.39,1881,741,885,3507,141,120,22,456,53,850,1002,1740,2481,351,857,1726,2058,420,582,2084,431,107,57.94,52.93,29.7,53,57,31,3518.03,2622,2630.47,306,25.06,24.62,25.29,140.33,140.9,139.01
DAL,2010,DAL,DAL,25,Team Level,4on5,82,0.1,0.11,0.13,26674,56.24,5.18,2.54,7.1,1.59,15.61,45.99,5.09,5.18,5.09,63,15,11,89,9,2,1,9,1,8,49,54,69,17,42,223,97,85,37,59,11,8,1.57,1.45,2.15,1,5,3,89,78,78,32,0.59,0.53,0.53,5.24,5.24,5.23,381.15,46.54,34.05,77.38,12.46,237.23,125.34,42.59,46.54,42.59,385,148,211,744,47,28,5,72,11,205,170,338,486,17,34,252,57,19,73,387,88,58,10.32,10.5,25.73,13,6,28,744,533,533,9,8.82,5.88,5.87,49.49,49.49,46.34
DAL,2010,DAL,DAL,25,Team Level,5on4,82,0.88,0.88,0.86,29490,470.5,55.99,42.61,95.55,15.95,297.72,163.17,52.06,55.99,52.06,443,228,202,873,52,35,8,94,17,253,220,391,619,26,61,275,74,29,91,472,135,64,11.78,16.26,27.96,10,12,30,873,671,671,8,10.88,9.48,9.64,57.23,57.23,54.08,76.31,7.54,3.7,9.59,2.25,21.67,62.26,7.47,7.54,7.47,84,23,16,123,12,3,2,13,2,18,59,72,95,16,41,283,96,71,43,73,23,11,1.81,2.91,2.81,6,4,2,123,107,107,39,0.86,0.75,0.75,7.65,7.65,7.63
